[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: mlx
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       832      ct1pt-tnode008  0
[0] MPI startup(): 1       833      ct1pt-tnode008  2
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Sat Nov 27 15:40:23 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong -msglog 28

# Minimum message length in bytes:   0
# Maximum message length in bytes:   268435456
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.23         0.00
            1         1000         0.23         4.30
            2         1000         0.23         8.60
            4         1000         0.23        17.17
            8         1000         0.23        34.36
           16         1000         0.23        68.50
           32         1000         0.24       131.14
           64         1000         0.25       261.00
          128         1000         0.26       491.06
          256         1000         0.28       899.67
          512         1000         0.43      1189.81
         1024         1000         0.45      2289.70
         2048         1000         0.60      3431.94
         4096         1000         0.85      4799.60
         8192         1000         1.39      5878.78
        16384         1000         2.32      7059.99
        32768         1000         3.55      9240.73
        65536          640         5.70     11503.51
       131072          320         8.77     14945.84
       262144          160        15.06     17403.98
       524288           80        41.95     12497.57
      1048576           40        82.24     12750.79
      2097152           20       156.84     13371.46
      4194304           10       401.12     10456.41
      8388608            5      1133.93      7397.79
     16777216            2      2445.68      6859.94
     33554432            1      5867.93      5718.27
     67108864            1     11669.70      5750.70
    134217728            1     23492.54      5713.21
    268435456            1     48577.24      5525.95


# All processes entering MPI_Finalize

